,region,market,funnel,account_type,ds,X,Month,Year,US_Desktop_-_Apr_2024,US_Desktop_-_Aug_2024,US_Desktop_-_Dec_2024,US_Desktop_-_Jul_2024,US_Desktop_-_Jun_2024,US_Desktop_-_May_2024,US_Desktop_-_Nov_2024,US_Desktop_-_Oct_2024,US_Desktop_-_Sep_2024,US_Mobile_&_Tablet_-_Apr_2024,US_Mobile_&_Tablet_-_Aug_2024,US_Mobile_&_Tablet_-_Dec_2024,US_Mobile_&_Tablet_-_Jul_2024,US_Mobile_&_Tablet_-_Jun_2024,US_Mobile_&_Tablet_-_May_2024,US_Mobile_&_Tablet_-_Nov_2024,US_Mobile_&_Tablet_-_Oct_2024,US_Mobile_&_Tablet_-_Sep_2024,Weekend,AOV,ROAS
221,US,US,-,Desktop,2024-12-02,81906.71,Dec,2024,0.0,0.0,81906.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
222,US,US,-,Desktop,2024-12-03,74282.45,Dec,2024,0.0,0.0,74282.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
223,US,US,-,Desktop,2024-12-04,64362.70000000001,Dec,2024,0.0,0.0,64362.70000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
224,US,US,-,Desktop,2024-12-05,59225.299999999996,Dec,2024,0.0,0.0,59225.299999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
225,US,US,-,Desktop,2024-12-06,51483.99999999999,Dec,2024,0.0,0.0,51483.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
226,US,US,-,Desktop,2024-12-07,13014.61,Dec,2024,0.0,0.0,13014.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
227,US,US,-,Desktop,2024-12-08,13914.349999999997,Dec,2024,0.0,0.0,13914.349999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
228,US,US,-,Desktop,2024-12-09,64225.600000000006,Dec,2024,0.0,0.0,64225.600000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
229,US,US,-,Desktop,2024-12-10,56658.04,Dec,2024,0.0,0.0,56658.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
230,US,US,-,Desktop,2024-12-11,57612.2,Dec,2024,0.0,0.0,57612.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
